title,description,coding
Kamala Harris drinks wine and plays Connect 4 in joyful post-election pic posted by her niece,"What would you do if you'd just been dealt a devastating, extremely public defeat? If your answer is ""drink wine in leggings,"" then Vice-President and former Democratic U.S. presidential candidate Kamala Harris can do you one better: Drink wine in leggings, s…",positive
The women's wave fell short for Kamala Harris. What happened?,"During an antagonistic race for the White House, both candidates tried to turn the gender gap among voters to their advantage, with Harris focusing on reproductive freedom as a cornerstone of her campaign and Trump doubling down on a hypermasculine strategy t…",negative
What Kamala Harris’ Loss Says About Female Leadership. Plus: Asia’s Most Powerful Businesswomen In 2024,"Welcome to this week’s ForbesWomen newsletter, which every Thursday brings news about the world’s top female entrepreneurs, leaders and investors straight to your inbox.",neutral
Kamala Harris Fundraising Going Towards 'Recount',Donations to the vice president's campaign on ActBlue are now being partially rerouted towards a vote recount effort.,neutral
"Kamala Harris' Radical, Inflexible Policies Lost Her the Catholic Vote | Opinion","America has narrowly dodged a bigot. Throughout Kamala Harris' presidential campaign, the incumbent vice president made no attempts to appeal to Catholic voters. Instead, she insulted us all the way to the finish line. Just weeks before Election Day, Harris s…",negative
The Real Reason Why Kamala Harris' Interview With Joe Rogan Was Called Off,"In the final days of the presidential race, eyebrows were raised after podcaster Joe Rogan announced he had rejected the terms of an interview with the Democratic nominee, Vice President Kamala Harris. After Harris' stinging defeat by now President-elect Dona…",neutral
Judge Recused in Arizona 'Fake Electors' Case after Kamala Harris Remark,"An Arizona judge has recused himself from a ""fake electors"" case against Trump allies after being accused of anti-Trump bias due to comments he made about Kamala Harris. Maricopa County's Judge Bruce Cohen recused himself after emails surfaced in which he cal…",neutral
Kamala Harris Campaigned on 'Joy.' Now It's Republicans Having All the Fun,"How Donald Trump went from Democratic supervillain to silly dancing grandpa, and what that reflects in the wider culture.",negative
One sentence sums up Kamala Harris' misread of the election,Why Harris lost the election to Trump is a complicated question. Part of it is tied to her failure to outline what she would have done differently than Biden.,negative
Kamala Harris' Celebrity Endorsements Didn't Matter. Can They Shift Voters?,"Vice President Kamala Harris' failure to win the presidency has called into question the Democrats' tactics, including the amplification of celebrity endorsements that seemed to make little impact on the final result. Harris picked up momentum early on when s…",negative
Kamala Harris Photo Shows Her Laughing With Family Days After Election Loss,"Kamala Harris' niece shared a photo of the vice president with her great nieces after her loss to President-elect Donald Trump following the 2024 presidential election. ""Back to where it all began only a few months ago. My eternal gratitude to everyone who sh…",neutral
Oprah Winfrey Denies Claim She Was Paid $1M by Kamala Harris Campaign,Oprah Winfrey is setting the record straight on her involvement with Kamala Harris' presidential campaign. The former talk show host denied rumors that she was paid a $1 million personal fee to...,neutral
Beyoncé's Mom Slams Rumor She Got $10 Million for Kamala Harris Rally,"You know you're Beyoncé when you cause all this conversation. The ""Formation"" singer's mother Tina Knowles shut down rumors that her daughter was paid $10 million to speak at a Kamala Harris rally...",neutral
[Removed],[Removed],
$1.5 billion in 15 weeks: Kamala Harris’ INSANE campaign spending exposed,"Kamala Harris’ campaign took a nosedive toward the end, and upon closer look, her wasteful spending may have played a major role — as the vice president reportedly burned through $1.5 billion within just 15 weeks.  “She was able to spend $1.5 billion in 15 we…",negative
Biden sounds upbeat in first speech since devastating election loss for Kamala Harris: 'Giving up is unforgivable',President Joe Biden appeared almost happy in the first speech he's given since the devastating loss for Vice President Kamala Harris in the election. Biden spoke for about 10 minutes from the White House on Thursday and tried to encourage supporters to keep f…,neutral
Was Kamala Harris a Victim of the Glass Cliff?,"Donald Trump thoroughly beat Vice President Kamala Harris in this week’s election, winning the electoral college and popular vote. Was this a further example of the glass cliff, where The post Was Kamala Harris a Victim of the Glass Cliff? appeared first on I…",neutral
Kamala Harris Came Much Closer to Winning Than You Think,"Nobody should blame Kamala Harris for Trump’s election. In retrospect, the Biden administration’s perceived failures were a hill too steep to climb, but Harris came closer that you might think to an Electoral College win.",positive
Why Kamala Harris Bailed on Joe Rogan,"In the closing weeks of the 2024 presidential campaign, Vice President Kamala Harris had an opportunity to appear on the Joe Rogan Experience, the most",neutral
Oprah Winfrey Denies Being Paid to Endorse Kamala Harris,"Oprah Winfrey is denying allegations that she was paid to endorse Kamala Harris ahead of the election. Fox News, among other outlets, reported over the weekend, “Vice President Kamala Harris paid Oprah Winfrey’s Harpo Productions $1 million, just one example …",negative
"Oprah Winfrey Further Clarifies False Kamala Harris Endorsement Money Story, Reveals Who Was Actually Paid","Oprah Winfrey is further clarifying allegations that she was paid to endorse Kamala Harris. If you don’t know, the night before the 2024 Presidential Election, Oprah was in attendance at VP Harris‘ final rally in Philadelphia to energize voters in Pennsylvani…",neutral
Tina Knowles Hits Back at False Reports That Beyoncé Was Paid to Speak at Kamala Harris Houston Rally,Tina Knowles is hitting back at Candace Owens. On Friday (November 15) the 35-year-old far-right political commentator shared a video on Instagram in which she accused Beyoncé of being paid $10 million to speak at Kamala Harris‘ Houston rally last month. The …,neutral
Kamala Harris' Stepdaughter Ella Emhoff Slams Reports She Had 'Mental Breakdown' After Presidential Election 2024,"Ella Emhoff is responding to the recent headlines about her. Over the past few days, there has been a lot of rumors on social media that the 25-year-old model, who is the daughter of Second Gentleman Doug Emhoff, had a “mental breakdown” and checked into a ho…",neutral
Andy Cohen Claps Back at Troll Over Celebrity Endorsements For Kamala Harris,"Andy Cohen is hitting back at someone for their comment on one of his recent posts. The Watch What Happens Live host shared on Instagram video on Wednesday (November 6) talking about the results of the 2024 Presidential Election, where Donald Trump was announ…",neutral
Kamala Harris Deserved Better—and There’s No Easy Explanation for Why She Didn’t Get It,Joan Walsh    Consider how resoundingly she succeeded in her 107-day campaign—and what that means about how deep the problems are that we need to solve.       The post Kamala Harris Deserved Better—and There’s No Easy Explanation for Why She Didn’t Get It app…,positive
[Removed],[Removed],
[Removed],[Removed],
Comparing Kamala Harris' and Hillary Clinton's performances against Trump,Hillary Clinton attempted to shatter the highest glass ceiling in U.S. politics and went up against now-President-elect Donald Trump in 2016. CBS News deputy director of elections and data analytics Kabir Khanna compares her performance with Vice President Ka…,neutral
"Kamala Harris campaign staff emotionally devastated after election loss, concession to Trump",Vice President Kamala Harris' campaign staff is coming to grips and trying to understand what went wrong in the wake of their loss to Donald Trump. CBS News campaign reporter Shawna Mizelle reports on that and Bernie Sanders' post-election criticism of the De…,neutral
"Biden delivers first remarks since election, calls Kamala Harris' loss to Trump a setback","President Biden addressed the nation Thursday for the first time since Kamala Harris' loss to Donald Trump in the election, which Mr. Biden referred to as a setback. The president said he would work with the president-elect's team to ensure a peaceful transit…",neutral
Where do Democrats go after Kamala Harris' election loss to Trump,The Democratic Party is taking stock of what went wrong and how they can move forward after Kamala Harris' election loss to Donald Trump. Democratic strategist Hyma Moore joined CBS News to discuss how the party might try to regroup.,neutral
Former Kamala Harris aide says Joe Biden should resign so she can serve as 47th president,"Former Harris communications director Jamal Simmons said on CNN that Joe Biden could step down, allowing Kamala Harris to serve as the 47th president.",positive
"Trump taps Brendan Carr, who opposed Kamala Harris' SNL cameo, to lead the FCC",,neutral
Why Kamala Harris lost: A flawed candidate or doomed campaign?,,negative
Kamala Harris Was Always Doomed,"The presidential race was not unpredictable, as the now once again discredited polls swore to us. The Republicans had made massive gains in voter registration... Read More The post Kamala Harris Was Always Doomed appeared first on The Daily Signal.",negative
FAITH REALIGNMENT: Which Religious Group Voted for Kamala Harris?,"Most Catholics and Protestants say they voted for the once and future president, Donald Trump, in Tuesday’s election, while most nonreligious Americans seem to have... Read More The post FAITH REALIGNMENT: Which Religious Group Voted for Kamala Harris? appear…",neutral
Voters in Kamala Harris’ Hometown Smack Down Initiative to Tax Natural Gas Use,"DAILY CALLER NEWS FOUNDATION—Voters in Berkeley, California, soundly rejected a proposal that would have required owners of certain larger buildings to pay a fee in... Read More The post Voters in Kamala Harris’ Hometown Smack Down Initiative to Tax Natural G…",negative
This photo of Kamala Harris shows us exactly how to survive Trump's second term,Vice President Kamala Harris' niece Meena Harris shared photos of the vice president playing Connect 4 with Meena's granddaughters.,neutral
Kamala Harris’ campaign didn’t ignore working class voters,There are a couple of problems with Bernie Sanders’ argument that Democrats have abandoned the working class. The most obvious and glaring is that it simply isn’t true.,neutral
Kamala Harris just did what Donald Trump never could,The vice president revived the 220-year-old tradition of peaceful transfer of power that Donald Trump broke in 2020.,positive
"Sorry not sorry, JD Vance — 'Normal' gays still voted for Kamala Harris","An overwhelming 86 percent of LGBTQ+ voters backed the Vice President, compared to just 12 percent who voted for Trump.",positive
Kamala Harris raised $1 billion-plus in defeat. She's still sending persistent appeals to donors,,neutral
James Carville says Kamala Harris' failed campaign could be reduced to Sunny Hostin's question on 'The View',,neutral
The Left Didn’t Sink Kamala Harris. Here's What Did.,"Waleed Shahid    It’s easier to blame activists, but far more powerful forces have led Democrats to neglect the real crises facing Americans.       The post The Left Didn’t Sink Kamala Harris. Here's What Did. appeared first on The Nation.",negative
Kamala Harris ran a historic campaign. What will her legacy be?,"Vice President Kamala Harris made history as the first woman of color to lead the ticket of a major party. But despite her historic run, she ultimately lost. What will her legacy be?<br><br>For sponsor-free episodes of <em>Consider This,</em> sign up for C<em…",neutral
Why Kamala Harris Got So Many Fewer Votes Than Biden,Social media posts after the presidential election were abuzz about the disparity in the vote tally from 2020 to 2024.  Preliminary counts show President-elect Donald... Read More The post Why Kamala Harris Got So Many Fewer Votes Than Biden appeared first on…,negative
Former Communications Director for Kamala Harris Suggests 'Biden Should Resign',"Vice President Kamala Harris's former communications director Jamal Simmons suggested that President Joe Biden ""should resign"" in order to make Harris ""the first woman president."" The post Former Communications Director for Kamala Harris Suggests ‘Biden Shoul…",positive
Report: Kamala Harris Campaign Paid Oprah Winfrey $1 Million,Oprah Winfrey -- who is estimated to be a billionaire -- appeared alongside Kamala Harris in a televised townhall-style interview in September and later at a rally in Philadelphia the night before the election where the former talkshow queen fear-mongered tow…,negative
Chicago Tribune Editorial Board Scolds Oprah Winfrey over $1 Million Kamala Harris Payment to Harpo Productions,"Oprah Winfrey is getting chewed out by her hometown newspaper, The Chicago Tribune, whose editorial board has chastised the former talkshow queen over the $1 million her production company reportedly received from the Kamala Harris campaign to produce the can…",negative
Nolte: Kamala Harris Way In Front of 2028 Democrat Presidential Contenders,"Kamala Harris leads her closest potential 2028 Democrat presidential contender by 33 points, according to polling from Echelon Insights. The post Nolte: Kamala Harris Way In Front of 2028 Democrat Presidential Contenders appeared first on Breitbart.",positive
Fetterman Slams Nancy Pelosi for 'Blaming Biden' over Kamala Harris Election Loss: 'You Got What You Wanted',"Sen. John Fetterman (D-PA) slammed Rep. Nancy Pelosi (D-CA) for ""blaming"" President Joe Biden for Vice President Kamala Harris's election loss, noting that she got what she wanted when Biden dropped out of the race. The post Fetterman Slams Nancy Pelosi for ‘…",negative
"Tulane Women's Basketball Coach Wears Kamala Harris Shirt to First Game After Election, Loses Game","Tulane women's basketball coach Ashley Langford went viral after appearing on the sidelines wearing a Kamala Harris campaign shirt. The post Tulane Women’s Basketball Coach Wears Kamala Harris Shirt to First Game After Election, Loses Game appeared first on B…",negative
Survey: Over Half of Kamala Harris Voters Want to Relocate After Donald Trump's Election Victory,A survey published Friday shows that some citizens are ready to pick up and move now that President-elect Donald Trump won the election. The post Survey: Over Half of Kamala Harris Voters Want to Relocate After Donald Trump’s Election Victory appeared first o…,positive
VIDEO -- Tim Walz's Daughter Speaks Out About Election Results: U.S. 'Does Not Deserve Kamala Harris',"Democrat Minnesota Gov. Tim Walz's daughter, Hope, spoke out about the results of the presidential election, stating that the United States ""does not deserve"" Vice President Kamala Harris. The post VIDEO — Tim Walz’s Daughter Speaks Out About Election Results…",positive
'The Big Short' Director Adam McKay Encourages Voters to Abandon Democrats over Kamala Harris Loss,"Adam McKay -- who directed the 2018 Dick Cheney biopic ""Vice"" -- is encouraging voters to abandon the Democrat party in the wake of Kamala Harris' loss to President-elect Donald Trump, calling out Democrat elites for their lies and shenanigans, including hidi…",negative
Distressed Sally Field Seen Trashing Kamala Harris Yard Signs After Election,Oscar-winning actress Sally Field's birthday on Wednesday was not as happy as she'd hoped as she was seen trashing her Kamala Harris yard signs in the wake of Donald Trump's landslide victory. The post Distressed Sally Field Seen Trashing Kamala Harris Yard S…,neutral
Nancy Pelosi Flips on Kamala Harris: Election 'Would Have Been Different' if Democrats Had an 'Open Primary',"Rep. Nancy Pelosi said the election ""would have been different"" if the Democrats had held a primary process after Joe Biden dropped out. The post Nancy Pelosi Flips on Kamala Harris: Election ‘Would Have Been Different’ if Democrats Had an ‘Open Primary’ appe…",negative
"Trump Teases Democrats for Kamala Harris, DNC Debt with Joking Offer to Pay It Off Using His Leftover Campaign Funds","President-elect Donald Trump on Saturday teased Democrats who spent tons of money and incurred debt trying to defeat him in the election. The post Trump Teases Democrats for Kamala Harris, DNC Debt with Joking Offer to Pay It Off Using His Leftover Campaign F…",negative
"Report: Kamala Harris Blew $20 Million on Election-Eve Concerts with Lady Gaga, Katy Perry in Swing States Where Trump Beat Her","Amid the stunning revelation that Kamala Harris' unsuccessful presidential campaign ended up $20 million in the red, despite raising $1 billion from donors, a new report has found that the rock concerts that her campaign staged on the night before the electio…",negative
"Kamala Harris paid Oprah Winfrey’s production company $1M during campaign, Oprah didn't get a dime","The Washington Examiner reported last Friday that the Harris campaign paid $1 million to Winfrey’s production company Harpo on Oct. 15. Oprah Winfrey denied being paid $1 million for the Kamala Harris for the “United for America” town hall event, which was li…",neutral
Why Kamala Harris lost: a flawed candidate or doomed campaign?,"The vice-president failed to make the case that she would be different from her boss, President Joe Biden.",negative
Former Clinton administration consultant blasts Kamala Harris as SORE LOSER,"A former strategic consultant under former President Bill Clinton slammed Kamala Harris, outgoing vice president and failed presidential candidate, as a “sore loser.” Barbara Heineback, a long-time Democratic staffer who first served under the late former Pre…",negative
Kamala Harris says she will continue to fight for abortion during concession speech,"After losing against President-elect Donald Trump, Vice President Kamala Harris vowed that she would not give up her “fight for democracy, especially a woman’s right to abortion.” On Nov. 6, Harris, accompanied by her running mate Minnesota Gov. Tim Walz and …",neutral
Kamala Harris’ campaign advisor deletes X account after blaming Biden for loss,"Outgoing Vice President Kamala Harris’ senior campaign advisor David Plouffe “indirectly” took a swipe at current U.S. President Joe Biden for causing the landslide defeat of the Democratic presidential nominee, suggesting that the hole they dug was not deep …",neutral
Furious Democrats blame JOE BIDEN and TIM WALZ for Kamala Harris’ humiliating election loss,"The blame game within the Democratic Party has begun. Supporters of Vice President Kamala Harris are now turning on President Joe Biden and Minnesota Gov. Tim Walz, blaming the two for her loss in the election against President-elect Donald Trump. On the morn…",negative
Oprah denies being paid $1 million to campaign for Kamala Harris,Billionaire media personality Oprah Winfrey has denied allegations that she was paid at least $1 million for participating in Vice President Kamala Harris’ failed presidential campaign. Reports stem from claims that Winfrey was paid to host the celebrity-pack…,neutral
The ultimate TRUMP CARDS: Swing states played key role in Donald Trump’s decisive win over Kamala Harris,"Donald Trump has become the 47th president of the United States following his decisive victory over Kamala Harris. The call was made at around 1:30 a.m. Eastern Standard Time after elections observer Decision Desk HQ, along with multiple mainstream media outl…",neutral
‘Numbers Are Shocking’: Catholic Voters Played Key Role In Sinking Kamala Harris’ Presidential Bid,"Catholic voters turned out for President-elect Donald Trump at an unprecedentedly high rate Tuesday, swinging the election in his favor.",negative
"FACT CHECK: No, Joe Biden Did Not Tell Kamala Harris ‘That’s What You Get’","A post shared on social media purports that President Joe Biden posted “that’s what you get” in response to the polls on election night. pic.twitter.com/0VNzO8WH9l — AB (@AB84) November 6, 2024 Verdict: False The claim is inaccurate. Fact Check: Vice Presiden…",neutral
Democrat Rep Ro Khanna Says Kamala Harris Messed Up By Not Going On Joe Rogan’s Show,Democratic California Rep. Ro Khanna said that Vice President Kamala Harris should have appeared on prominent podcaster Joe Rogan's show before the election.,negative
‘It’s Literally That Simple’: Charlamagne Tha God Tells ABC Host Two Issues Killed Kamala Harris’ Chances,Charlamagne tha God told Jonathan Karl that Kamala Harris lost the election because voters trusted former President Donald Trump more on two key issues.,negative
‘No Respect’: Philadelphia DNC Chair Bob Brady Goes After Kamala Harris As Finger-Pointing Battle Heats Up,"Former Rep. Bob Brady attacked Kamala Harris hours after her election loss, claiming her lack of coordination with Philadelphia Democrats led to her demise.",negative
Election Forecaster Who Gave Win to Kamala Harris Blames Elon Musk for Inaccurate Prediction: He Put 'His Thumb on the Scales',Presidential historian Allan Lichtman cited Elon Musk's influence on social media as a key reason he incorrectly forecasted a Kamala Harris victory.,neutral
Taliban Official Mocks US for Rejecting Kamala Harris: 'Americans Are Not Ready to Hand Over' Country 'to a Woman',A Taliban official mocked Americans' reluctance to elect a female leader after Donald Trump's 2024 presidential victory.,neutral
Kamala Harris 'Paid More Than Double' What Was Estimated to Oprah Winfrey During her Flop White House Bid,New sources revealed Harris spent more than double what was originally reported to have been spent on a live-streamed September event hosted by Winfrey.,negative
Kamala Harris Still Begging Voters For Donations — Despite Election Thumping and Already Pulling in Over $1Billion For Failed Campaign,"More than a week after Vice President Kamala Harris' loss against Donald Trump, her campaign is still seeking for donations despite raising $1 billion.",negative
Joe Biden's White House Smile Sparks Fevered Rumors He Secretly Voted for Trump and is 'Glad' Kamala Harris Lost Election,Joe Rogan pointed out how Joe Biden appeared surprisingly happy during his interaction with Donald Trump.,negative
Jeff Bezos Selling His 'Old' $39Million Private Jet as His Prized 'Washington Post' Burns After Decision to Block Paper's Kamala Harris Endorsement,"The businessman, the second richest man in the world, has decided to sell one of his private jets for almost $40million.",neutral
How Prince Harry and Meghan Markle are Stuck in 'Hellish Situation' After Kamala Harris Failed to Trounce Trump in U.S. Election,Harry and Meghan are wondering where they will be living in the near future and whether that will still be in America following Trump's victory.,positive
Seething 'Selling Sunset’ Star Chrishell Stause Slams Rumors She Was Paid to Back Kamala Harris,"Selling Sunset star Chrishell Stause has shot down rumors she was paid to back Kamala Harris in the Presidential Election, before ranting about Donald Trump.",neutral
Defeated Democrats Turn On Nancy Pelosi After Attacking George Clooney in 'Desperate Scattergun' Blame Game for Kamala Harris' Election Bloodbath,"After Kamala Harris' loss against Donald Trump in the presidential election, Democrats are now pointing fingers amid their 'desperate' blame game.",neutral
Democrats Plunged Into 'Shivving' Election Scandal: Biden's Team 'Was Secretly Briefing Reporters Kamala Harris Was Incapable of Beating Trump',"Podcast host Jon Favreau claimed the Biden camp was 'shivving' Kamala Harris, who ultimately lost the electoral college and the popular vote.",negative
She's Not Laughing Now: We Analyze Kamala Harris' Cackle — As Experts Ask if It Cost Her the Election,Vice President Kamala Harris has condemned people who 'love to talk about the way' she laugh as some people believe it played a part in her losing the election.,negative
Trump Lackey Elon Musk's Biggest Controversies: From Targeting The Don's Showbiz Nemesis Taylor Swift to Bitter Attacks on Joe Biden and Kamala Harris,"Elon Musk has frequently sparked unrest due to his provocative statements and controversies, and he may be an even bigger voice following Trump's win.",neutral
"Sore-Losing Liberal Sally Field, 78, Trashes Kamala Harris Campaign Signs After Donald Trump's Crushing Victory — As Bleeding Heart Celebs Vow to Flee U.S.",The 78-year-old actress furiously tossed her Harris/Walz yard signs following Trump's win after previously endorsing the Democrat with a personal abortion story.,negative
"How Disturbing Conspiracy Theory 'Links' Between Kamala Harris, 'Diddy' and Jeffrey Epstein Were Used to Help Donald Trump Win the White House","Donald Trump used Kamala Harris' links with Sean 'Diddy' Combs and the wild conspiracy theories associated with the pair to win the election, it's been claimed.",negative
One moment in the presidential debate foreshadowed Kamala Harris’ loss,Donald Trump's victory reminds us that Americans have felt something is wrong with our government and politics since the housing and financial crisis of 2008.,negative
One sentence sums up Kamala Harris' misread of the election,Why Harris lost the election to Trump is a complicated question. Part of it is tied to her failure to outline what she would have done differently than Biden.,negative
"Leave it To Internet 'Karen' Bethenny Frankel To Drag Another Woman, This Time It's Kamala Harris","On Wednesday, reality star and resident internet Karen Bethenny Frankel took to Instagram to share her thoughts on why Vice President Kamala Harris lost the presidential election. Read more...",negative
WATCH: Stephen A. Smith Had the Audacity to Blame These Black Women for Kamala Harris Losing the Presidential Election,"In the wake of Kamala Harris’ defeat in the 2024 presidential election, countless TV pundits and political analysts are weighing in on what went wrong with the Democrats’ campaign. Well, rest easy because Stephen A. Smith knows exactly who to blame. Yes, the …",neutral
"Brendan Carr says Trump's complaint over a 60 Minutes interview with Kamala Harris is ""likely to arise"" in the FCC's review of the Skydance-Paramount deal (Ted Johnson/Deadline)","Ted Johnson / Deadline: Brendan Carr says Trump's complaint over a 60 Minutes interview with Kamala Harris is “likely to arise” in the FCC's review of the Skydance-Paramount deal  —  In an interview with Fox News' America's Newsroom, Carr said, “Broadcasters …",neutral
[Removed],[Removed],
Voters In Kamala Harris’ Hometown Smack Down Initiative to Tax Natural Gas Use,"Measure GG would have required owners of multi-family or commercial buildings larger than 15,000 square feet to pay up in order to use natural gas. It failed with 68.25% of voters moving to reject the measure, according to Alameda County election data.",negative
Mark Cuban Deletes His Pro-Kamala Harris Tweets,"The businessman, former ""Shark Tank"" star and Harris backer was called out for removing his tweets, but claims he's always deleted comments after past elections.  The post Mark Cuban Deletes His Pro-Kamala Harris Tweets appeared first on TheWrap.",neutral
"CBS’ Kamala Harris Interview ‘Likely’ to Be Reviewed, Trump’s FCC Chairman Says","Brendan Carr says the news distortion complaint over the ""60 Minutes"" sit-down will be looked at during the Skydance-Paramount deal review The post CBS’ Kamala Harris Interview ‘Likely’ to Be Reviewed, Trump’s FCC Chairman Says appeared first on TheWrap.",neutral
"Cardi B Says She Paid ‘Out of Pocket’ for Kamala Harris Rally Travel, Glam: ‘It’s Somewhere I Wanted to Be’","Cardi B joins Oprah on a growing list of celebrities accused of being paid by the Harris campaign The post Cardi B Says She Paid ‘Out of Pocket’ for Kamala Harris Rally Travel, Glam: ‘It’s Somewhere I Wanted to Be’ appeared first on TheWrap.",neutral
Donald Trump Brags That He’s Got Way More Campaign Money Left Than Kamala Harris,The president-elect makes a dubious offer to help pay the Democratic campaign’s debt The post Donald Trump Brags That He’s Got Way More Campaign Money Left Than Kamala Harris appeared first on TheWrap.,negative
Chris Hayes Says Trump’s Win Is a ‘Rejection of the Status Quo’ — Even for Kamala Harris Voters | Video,"Support for ""dark fantasies of smashing the administrative state"" like Project 2025 was not ""the source of this victory,"" he adds The post Chris Hayes Says Trump’s Win Is a ‘Rejection of the Status Quo’ — Even for Kamala Harris Voters | Video appeared first o…",neutral
Harris Surrogate Says Joe Biden Gave a ‘Big F You’ to Fellow Democrats With Kamala Endorsement | Video,A former member of the VP’s finance committee says the campaign was a “$1 billion disaster” The post Harris Surrogate Says Joe Biden Gave a ‘Big F You’ to Fellow Democrats With Kamala Endorsement | Video appeared first on TheWrap.,negative
Voters Rejected Not Just Kamala Harris But Democrats’ Politics Of Division,"A radical political and cultural realignment rejected superficial divisions, embraced American tradition, and made Trump our 47th president.",negative
"Kamala Harris Was A Terrible Candidate, And Democrats Need To Be Honest About That",Kamala Harris was an inauthentic lightweight who couldn't do the one thing politicians are supposed to be able to do: speak.,negative
Kamala Harris Quoted One Of Hitler’s Favorite Writers In Her Concession Speech,Kamala Harris' otherwise innocuous concession speech took a weird turn when she quoted one of Hitler's favorite writers.,negaetive
Advice from Democrats Who Outran Kamala Harris,"“Democrats who won major Senate races have a blunt message for their party: Get a better economic message or keep losing,” Politico reports.“From Elissa Slotkin in Michigan to Ruben Gallego in Arizona and Adam Schiff in California, these soon-to-be senators t…",negative
